Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Location
Ten Mile River Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.829819,-73.952661,POINT (-73.952661 40.829819)
"Williamsburgh Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/williamsburgh,40.706939,-73.957556,POINT (-73.957556 40.706939)
"Washington Heights Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/washington-heights,40.834557,-73.939712,POINT (-73.939712 40.834557)
Matthew P. Sapolin Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.777704,-73.984058,POINT (-73.984058 40.777704)
Morningside Playground 123,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.80998,-73.955946,POINT (-73.955946 40.80998)
Castlewood Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.749939,-73.720844,POINT (-73.720844 40.749939)
Orchard Beach Pavilion,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",,,,,,40.867182,-73.793846,POINT (-73.793846 40.867182)
Edenwald Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.884092,-73.845163,POINT (-73.845163 40.884092)
Maspeth Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.730899,-73.925415,POINT (-73.925415 40.730899)
Brooklyn Bridge Park Pier 5 - Boathouse/Uplands,Park,Brooklyn Bridge Park,Operational,Year Round,,Fully Accessible,,,,,40.695841,-73.999127,POINT (-73.999127 40.695841)
Mellett Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.597078,-73.957392,POINT (-73.957392 40.597078)
Van Cortlandt Park Stables,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.901041,-73.894743,POINT (-73.894743 40.901041)
Bildersee Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.635952,-73.912189,POINT (-73.912189 40.635952)
Marine Park Zone 6,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.604007,-73.930594,POINT (-73.930594 40.604007)
Robert E. Venable Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.674409,-73.865074,POINT (-73.865074 40.674409)
"Countee Cullen Library, NYPL",Library,NYPL,Closed for Construction,Future,,,,,,https://www.nypl.org/locations/countee-cullen,40.814844,-73.941162,POINT (-73.941162 40.814844)
Playground For All Children,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.74089,-73.84951,POINT (-73.84951 40.74089)
Mosholu Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.887057,-73.884205,POINT (-73.884205 40.887057)
Bayswater Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.598771,-73.767504,POINT (-73.767504 40.598771)
Central Park West,Park,Central Park Conservancy,Operational,Seasonal,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.769186,-73.980801,POINT (-73.980801 40.769186)
East River Waterfront Esplanade Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.704736,-74.003405,POINT (-74.003405 40.704736)
"Stephen A. Schwarzman Building, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 6:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/schwarzman,40.753213,-73.982232,POINT (-73.982232 40.753213)
Poor Richard's Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.792986,-73.943109,POINT (-73.943109 40.792986)
St Mary's Playground East,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.809905,-73.910486,POINT (-73.910486 40.809905)
"Maspeth Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/maspeth,40.727004,-73.893106,POINT (-73.893106 40.727004)
"North Hills Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/north-hills,40.759262,-73.731839,POINT (-73.731839 40.759262)
Shore Road Park Zone 2,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.632076,-74.038741,POINT (-74.038741 40.632076)
"Steinway Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/steinway,40.776835,-73.909458,POINT (-73.909458 40.776835)
Harry Maze Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.643332,-73.923243,POINT (-73.923243 40.643332)
Lincoln Terrace Park / Arthur S. Somers Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.66637,-73.927571,POINT (-73.927571 40.66637)
Twin Island,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.870484,-73.786588,POINT (-73.786588 40.870484)
Williamsbridge Oval,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.876665,-73.878572,POINT (-73.878572 40.876665)
"Kips Bay Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/kips-bay,40.743818,-73.979903,POINT (-73.979903 40.743818)
Tecumseh Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.781912,-73.978712,POINT (-73.978712 40.781912)
"Todt Hill-Westerleigh Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 10:00 am - 7:00 pm   
Thursday: 10:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,Changing Table outside restroom,https://www.nypl.org/locations/todt-hill-westerleigh,40.60961,-74.148523,POINT (-74.148523 40.60961)
Sixteen Sycamores Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.686723,-73.980995,POINT (-73.980995 40.686723)
Calvert Vaux Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.58813,-73.990264,POINT (-73.990264 40.58813)
Horseshoe Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.824235,-73.897815,POINT (-73.897815 40.824235)
East River Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.789193,-73.937893,POINT (-73.937893 40.789193)
Clove Lakes Cafe,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.617665,-74.108137,POINT (-74.108137 40.617665)
"Glen Oaks Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/glen-oaks,40.745181,-73.714847,POINT (-73.714847 40.745181)
Playground 286,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.590608,-73.938475,POINT (-73.938475 40.590608)
"Pelham Bay Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/pelham-bay,40.844326,-73.827902,POINT (-73.827902 40.844326)
J. Hood Wright Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.846453,-73.940764,POINT (-73.940764 40.846453)
Spirit Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.761387,-73.941316,POINT (-73.941316 40.761387)
Nellie Bly Amusement Park,Park,NYC Parks Concessionaire,Not Operational,Seasonal,Concession Operating Hours,,,,,,40.590614,-73.994912,POINT (-73.994912 40.590614)
Willow Lake Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.722504,-73.837091,POINT (-73.837091 40.722504)
Bush Terminal Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.653348,-74.019219,POINT (-74.019219 40.653348)
Coney Island Beach Zone 7a,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.571665,-73.992294,POINT (-73.992294 40.571665)
The Great Hill,Park,Central Park Conservancy,Operational,Seasonal,7am - dusk,Not Accessible,Multi-Stall W/M Restrooms,,,,40.797329,-73.959063,POINT (-73.959063 40.797329)
Story Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.822979,-73.863106,POINT (-73.863106 40.822979)
Golconda Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.697972,-73.98284,POINT (-73.98284 40.697972)
Breukelen Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.653733,-73.893975,POINT (-73.893975 40.653733)
River Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.843174,-73.877344,POINT (-73.877344 40.843174)
Curtis Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.640805,-73.917601,POINT (-73.917601 40.640805)
Betsy Head Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.661939,-73.914409,POINT (-73.914409 40.661939)
"Highlawn Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/highlawn,40.605701,-73.986248,POINT (-73.986248 40.605701)
Grand Army Plaza APT,Public Plaza,NYC DOT/JCDecaux,Operational,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,This unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.672237,-73.969074,POINT (-73.969074 40.672237)
Dyker Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.61308,-74.013153,POINT (-74.013153 40.61308)
Fort Tryon Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.860769,-73.93276,POINT (-73.93276 40.860769)
Detective Keith L Williams Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.70398,-73.785145,POINT (-73.785145 40.70398)
Stockton Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.697121,-73.948607,POINT (-73.948607 40.697121)
Wildlife Sanctuary & 119th St. Tennis Courts,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.811329,-73.965653,POINT (-73.965653 40.811329)
Gun Hill Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.874675,-73.865424,POINT (-73.865424 40.874675)
"Chatham Square Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 9:00 am - 7:00 pm 
Tuesday: 9:00 am - 7:00 pm 
Wednesday: 9:00 am - 7:00 pm 
Thursday: 9:00 am - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/chatham-square,40.713341,-73.996491,POINT (-73.996491 40.713341)
Rolph Henry Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.655685,-73.947495,POINT (-73.947495 40.655685)
Alley Pond Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.741956,-73.739958,POINT (-73.739958 40.741956)
"Fort Hamilton Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/fort-hamilton,40.616381,-74.031371,POINT (-74.031371 40.616381)
Newtown Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.73625,-73.869826,POINT (-73.869826 40.73625)
Prospect Park Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.651267,-73.970257,POINT (-73.970257 40.651267)
Grady Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.582536,-73.964425,POINT (-73.964425 40.582536)
725 Fifth Avenue POPS,Privately Owned Public Space,The Trump Organization,Operational,Year Round,Everyday 8:00 am-10:00 pm,,Multi-Stall W/M Restrooms,"""Yes, in women's restroom only""",,,40.762319,-73.973895,POINT (-73.973895 40.762319)
St. Nicholas Playground South,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.811069,-73.947207,POINT (-73.947207 40.811069)
"Morningside Heights Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/morningside-heights,40.806139,-73.964777,POINT (-73.964777 40.806139)
"East Elmhurst Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""","Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/east-elmhurst,40.76243,-73.873868,POINT (-73.873868 40.76243)
Christopher J. Igneri Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.60873,-74.119467,POINT (-74.119467 40.60873)
Silent Springs Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.749652,-73.823162,POINT (-73.823162 40.749652)
Fresh Meadows Playground,Park,NYC Parks,Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.734447,-73.796195,POINT (-73.796195 40.734447)
"Pomonok Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/pomonok,40.732933,-73.810096,POINT (-73.810096 40.732933)
Playground 52 LII,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.815446,-73.901445,POINT (-73.901445 40.815446)
John Street Snack Bar,Park,NYC Parks Concessionaire,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.705585,-74.003725,POINT (-74.003725 40.705585)
Edmonds Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.689246,-73.971727,POINT (-73.971727 40.689246)
"Castle Hill Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 6:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/castle-hill,40.826638,-73.850172,POINT (-73.850172 40.826638)
"Kings Highway Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/kings-highway,40.610265,-73.953107,POINT (-73.953107 40.610265)
